Date,Open,High,Low,Close,Adj Close,Volume
2012-11-28,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-29,150.0,150.0,150.0,150.0,149.785721,0.0
2012-11-30,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-03,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-04,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-05,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-06,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-07,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-10,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-11,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-12,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-13,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-14,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-17,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-18,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-19,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-20,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-21,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-24,150.0,150.0,150.0,150.0,149.785721,0.0
2012-12-27,150.0,215.0,150.0,215.0,214.692856,4.0
2012-12-28,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-02,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-03,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-04,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-07,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-08,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-09,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-10,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-11,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-14,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-15,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-16,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-17,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-18,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-21,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-22,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-23,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-24,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-25,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-28,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-29,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-30,215.0,215.0,215.0,215.0,214.692856,0.0
2013-01-31,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-01,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-04,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-05,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-06,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-07,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-08,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-11,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-12,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-13,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-14,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-15,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-18,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-19,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-20,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-21,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-22,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-25,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-26,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-27,215.0,215.0,215.0,215.0,214.692856,0.0
2013-02-28,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-01,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-04,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-05,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-06,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-07,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-08,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-11,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-12,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-13,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-14,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-15,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-18,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-19,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-20,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-21,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-22,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-25,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-26,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-27,215.0,215.0,215.0,215.0,214.692856,0.0
2013-03-28,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-02,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-03,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-04,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-05,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-08,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-09,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-10,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-11,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-12,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-15,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-16,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-17,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-18,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-19,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-22,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-23,215.0,215.0,215.0,215.0,214.692856,0.0
2013-04-24,215.0,215.0,215.0,215.0,214.692856,0.0
